id,brand,model,ram,hd_type,hd_size,screen_size,price,processor_brand,processor_model,clock_speed,graphic_card_brand,graphic_card_size,os,weight,comments
80,Lenovo,59422410,8,hdd,1024,15.6,42190,intel,i3,1.7,amd,2,windows,2.4,customer rating 3.9
81,Dell,Inspiron 5378,8,ssd,256,13.3,76585,intel,i7,2.7,intel,2,windows,1.6,"Laptop with Built-in Battery, AC Adapter with Power Cord, Manuals"
82,Lenovo,100 80QQ01BBIH,4,hdd,1024,15.6,42790,intel,i5,2.2,nvidia,2,windows,2.3,customer rating 2.9
83,HP,15q-Bu014TU ,4,hdd,1024,15.6,39990,intel,i5,2.5,intel,,windows,2.1,
84,HP,L8E74UT#ABA,2,ssd,500,11.6,40255,intel,i5,,intel,,windows,1.28,
85,Dell,Inspiron 17 7567,16,ssd,256,15.6,119780,intel,i7,2.8,,,windows,4.1,
86,Acer,A315-31CDC UN.GNTSI.001,2,ssd,500,15.6,17990,intel,Celeron,1.1,intel,,windows,2.1,
87,Lenovo,G50-80 80E5021EIN,4,hdd,1024,15.6,42990,intel,i5,2.2,intel,,linux,3.2,customer rating 3.4
88,HP,Pavilion x360 11-AD022TU,4,hdd,1024,11,39999,intel,i3,2.4,intel,,windows,1.39,
89,Dell,Inspiron 5567,16,hdd,1024,15.6,74985,intel,i7,3.5,amd,,windows,2.3,
90,HP ,15-au623Tx,8,hdd,1024,15.5,59990,intel,i5,2.5,nvidia,4,windows,2.9,
91,HP,15-BS544TU,8,hdd,1024,15.6,32849,intel,i3,2,intel,,linux,2.1,
92,Lenovo,320E 80XL0378IN,4,hdd,1024,15.6,43990,intel,i5,3.1,intel,2,windows,2.2,customer rating 3.2
93,Alienware,15 Notebook,16,hdd,1024,15.6,199000,intel,i7,2.6,nvidia,8,windows,3.5,Maximum Display Resolution : 1920 x 1080 pixel
94,Dell,Inspiron 7378,8,ssd,256,13.3,77993,intel,i7,2.7,,,windows,2.8,
95,HP,15-ay511tx,8,hdd,1024,15.6,41990,intel,i3,2,amd,2,windows,2.19,
96,Acer,Aspire3 A315-51-356P ,4,hdd,1024,15.6,30415,intel,i3,2,intel,,windows,2.2,
97,Dell,Inspiron 15 5578,16,ssd,512,15.6,76996,intel,i7,2.7,intel,,windows,2.3,
98,HP,HP AR004TU,4,hdd,1024,14,34668,intel,i3,2,intel,,windows,1.94,
99,Alienware,AW13R3-7000SLV-PUS,8,ssd,256,13.3,190256,intel,i7,3,nvidia,6,windows,2.6,"13.3 inch FHD (1920 x 1080) IPS Anti-Glare 300-nits Display
1 Lithium ion batteries required. (included)"
100,HP ,Pavilion 14-bf125tx ,12,hdd,1024,14,64490,intel,i5,1.6,nvidia,2,windows,1.53,
101,Dell,Inspiron 15 Gaming 7567,16,hdd,1280,15.6,112990,intel,i7,3.8,nvidia,4,windows,2.8,"Operating System:	Windows 10 with Office 2016 Home and Student

Lithium Battery Energy Content:	74 Watt Hours

Included Components:	Laptop, Battery, AC Adapter, User Guide, Manuals"
102,HP,ay516tx,4,hdd,1024,15.6,42100,intel,i5,2.3,amd,2,windows,1.28,
103,Acer,A315-31-P4CRUN.GNTSI.002,4,hdd,500,15.6,18990,intel,pentium,1.1,intel,,windows,,
105,Lenovo,320E-15IKB 80XL03FYIN,4,hdd,1024,15,45589,intel,i5,2.2,amd,2,windows,2.5,customer rating 3.8
106,Dell,Inspiron 15 7560,8,ssd,128,15.6,76000,intel,i7,2.7,nvidia,4,windows,3.2,
107,HP,15q-BU011TX,8,hdd,1024,15.6,42990,intel,i5,2.5,amd,2,windows,2.1,
108,Lenovo,300 300-15ISK 80Q700UGIN,4,hdd,1024,15.6,47990,intel,i5,2.3,amd,2,windows,3.2,customer rating 3.0
109,Dell,XPS 12 Ultrabook,4,ssd,128,12,101065,intel,i5,2.6,intel,,windows,3.2,"Average Battery Life (in hours):	4
Lithium Battery Energy Content:	  50 Watt Hours"
110,HP,15-BS580TX,8,hdd,1024,15.6,42999,intel,i3 ,2,amd,2,windows,2.1,
111,Lenovo,510 80VB00ACIH,4,hdd,1024,14,47990,intel,i3,2.4,intel,2,windows,1.7,customer rating 4.0
